项目,文件名,类型,语言,访谈形式,段落数,总字符数,Sheet数
枪战类长线新手体验研究,用户记录表.xlsx,xlsx,中英混合,记录表,0,163881,11
生存撤离类新手引导体验研究,整合记录表.xlsx,xlsx,中英混合,记录表,0,114433,7
萤火突击竞品研究,座谈会笔录-G2.docx,docx,?,座谈会,3,2,0
萤火突击竞品研究,座谈会笔录-G1.docx,docx,?,座谈会,3,2,0
美国HD端射击市场用户细分研究,座谈会笔录-G2.docx,docx,英文,座谈会,1701,162223,0
美国HD端射击市场用户细分研究,座谈会笔录-G3.docx,docx,英文,座谈会,1332,169121,0
美国HD端射击市场用户细分研究,座谈会笔录-G4.docx,docx,英文,座谈会,1098,171199,0
美国HD端射击市场用户细分研究,座谈会笔录-G8.docx,docx,英文,座谈会,1167,103965,0
美国HD端射击市场用户细分研究,座谈会笔录-G5.docx,docx,英文,座谈会,2388,168192,0
美国HD端射击市场用户细分研究,座谈会笔录-G6.docx,docx,中英混合,座谈会,1562,114742,0
美国HD端射击市场用户细分研究,座谈会笔录-G7.docx,docx,英文,座谈会,1200,149911,0
美国HD端射击市场用户细分研究,座谈会笔录-G1.docx,docx,英文,座谈会,1899,191794,0
玩家能力对射击产品规模影响研究,座谈会笔录-G2.docx,docx,中英混合,座谈会,7,49,0
玩家能力对射击产品规模影响研究,座谈会笔录-G1.docx,docx,中英混合,座谈会,84,126,0
绝地潜兵2竞品研究-摸底期,座谈会笔录-G1.docx,docx,中英混合,座谈会,643,52414,0
Deadlock竞品研究,座谈会笔录-G2.docx,docx,?,座谈会,4,3,0
Deadlock竞品研究,座谈会笔录-G3.docx,docx,?,座谈会,4,3,0
Deadlock竞品研究,座谈会笔录-G2-补访.docx,docx,?,座谈会,5,4,0
Deadlock竞品研究,座谈会笔录-G3-补访.docx,docx,?,座谈会,4,3,0
Deadlock竞品研究,座谈会笔录-G1.docx,docx,?,座谈会,4,3,0
竞技品类基础研究,线上访谈笔录-U1.docx,docx,?,线上访谈,1,0,0
竞技品类基础研究,深访笔录-D4.docx,docx,?,深访,1,0,0
竞技品类基础研究,线上访谈笔录-U7.docx,docx,?,线上访谈,1,0,0
竞技品类基础研究,深访笔录-D3.docx,docx,?,深访,1,0,0
竞技品类基础研究,深访笔录-D2.docx,docx,?,深访,1,0,0
竞技品类基础研究,线上访谈笔录-U6.docx,docx,?,线上访谈,1,0,0
竞技品类基础研究,深访笔录-D1.docx,docx,?,深访,1,0,0
竞技品类基础研究,线上访谈笔录-U5.docx,docx,?,线上访谈,1,0,0
竞技品类基础研究,线上访谈笔录-U4.docx,docx,?,线上访谈,1,0,0
竞技品类基础研究,线上访谈笔录-U3.docx,docx,?,线上访谈,1,0,0
竞技品类基础研究,线上访谈笔录-U2.docx,docx,?,线上访谈,1,0,0
绝地潜兵2竞品研究-拓圈期,座谈会笔录-G2.docx,docx,英文,座谈会,3350,159196,0
绝地潜兵2竞品研究-拓圈期,座谈会笔录-G1.docx,docx,英文,座谈会,3437,151672,0
搜打撤品类研究,深访笔录-D7-英文原版.docx,docx,英文,深访,258,34006,0
搜打撤品类研究,深访笔录-D1-英文原版.docx,docx,英文,深访,264,44312,0
搜打撤品类研究,深访笔录-D1-中文版.docx,docx,中英混合,深访,265,15534,0
搜打撤品类研究,深访笔录-D6-英文原版.docx,docx,英文,深访,325,36364,0
搜打撤品类研究,深访笔录-D7-中文版.docx,docx,中英混合,深访,258,11663,0
搜打撤品类研究,深访笔录-D6-中文版.docx,docx,中英混合,深访,325,12923,0
搜打撤品类研究,深访笔录-D5-英文原版.docx,docx,英文,深访,337,49617,0
搜打撤品类研究,深访笔录-D3-中文版.docx,docx,中英混合,深访,295,9923,0
搜打撤品类研究,深访笔录-D2-中文版.docx,docx,中英混合,深访,244,14159,0
搜打撤品类研究,深访笔录-D8-英文原版.docx,docx,英文,深访,352,33417,0
搜打撤品类研究,深访笔录-D8-中文版.docx,docx,中英混合,深访,352,12286,0
搜打撤品类研究,深访笔录-D3-英文原版.docx,docx,英文,深访,294,28344,0
搜打撤品类研究,深访笔录-D4-英文原版.docx,docx,英文,深访,268,27403,0
搜打撤品类研究,深访笔录-D2-英文原版.docx,docx,英文,深访,243,41487,0
搜打撤品类研究,深访笔录-D4-中文版.docx,docx,中英混合,深访,268,9335,0
搜打撤品类研究,深访笔录-D5-中文版.docx,docx,中英混合,深访,337,17008,0
搜打撤品类研究,座谈会笔录-G2.docx,docx,英文,座谈会,1113,123394,0
搜打撤品类研究,座谈会笔录-G3.docx,docx,英文,座谈会,1183,119956,0
搜打撤品类研究,座谈会笔录-G1.docx,docx,英文,座谈会,994,134850,0
搜打撤品类研究,座谈会笔录-G2.docx,docx,?,座谈会,1,0,0
搜打撤品类研究,深访笔录-D4.docx,docx,?,深访,1,0,0
搜打撤品类研究,座谈会笔录-G3.docx,docx,?,座谈会,1,0,0
搜打撤品类研究,座谈会笔录-G4.docx,docx,?,座谈会,1,0,0
搜打撤品类研究,深访笔录-D3.docx,docx,?,深访,1,0,0
搜打撤品类研究,深访笔录-D2.docx,docx,?,深访,1,0,0
搜打撤品类研究,深访笔录-D1.docx,docx,?,深访,1,0,0
搜打撤品类研究,座谈会笔录-G1.docx,docx,?,座谈会,1,0,0
漫威争锋中美用户洞察研究,文字转录-海外年轻组.docx,docx,中英混合,文字转录,729,143334,0
漫威争锋中美用户洞察研究,文字转录-海外大龄组.docx,docx,中英混合,文字转录,969,166501,0
漫威争锋中美用户洞察研究,座谈会笔录-G1.docx,docx,中英混合,座谈会,15,113,0
瓦洛兰特海外人群玩法研究,深访笔录-D1.docx,docx,?,深访,1,0,0
美国HD端用户生态与决策链路研究,座谈会笔录-G1（放松向）.docx,docx,英文,座谈会,4185,156788,0
美国HD端用户生态与决策链路研究,座谈会笔录-G3（社交向）.docx,docx,英文,座谈会,3625,158971,0
美国HD端用户生态与决策链路研究,座谈会笔录-G4（叙事向）.docx,docx,英文,座谈会,3088,144643,0
